datum;mean_temperature;max_temperature;sunshine_duration;global_radiation;precipitation;mean_sea_level_pressure;mean_humidity;max_humidity;potential_evapotranspiration
2015-01-01;5.9;6.8;0.3;94.0;2.5;1025.3;91.0;94.0;0.1
2015-01-02;7.7;10.5;5.1;294.0;1.7;1020.6;75.0;96.0;0.4
2015-01-03;6.3;7.2;1.3;157.0;1.0;1020.0;76.0;91.0;0.2
2015-01-04;5.5;7.9;4.7;288.0;1.1;1030.8;75.0;87.0;0.4
2015-01-05;5.1;6.3;0.0;76.0;0.0;1028.4;89.0;95.0;0.1
2015-01-06;4.6;7.3;0.0;164.0;0.5;1020.3;88.0;96.0;0.2
2015-01-07;5.1;7.1;6.0;306.0;None;1021.8;90.0;95.0;0.4
2015-01-08;6.9;8.5;0.0;42.0;9.3;1016.5;91.0;98.0;0.1
2015-01-09;8.4;10.7;0.0;114.0;3.9;1009.7;86.0;98.0;0.2
2015-01-10;8.3;11.1;0.9;154.0;1.1;1004.6;78.0;94.0;0.2
2015-01-11;6.4;7.6;3.1;247.0;0.5;1011.3;73.0;82.0;0.3
2015-01-12;7.7;9.1;0.0;65.0;4.3;1006.6;88.0;97.0;0.1
2015-01-13;6.5;9.1;1.5;118.0;21.5;1000.0;92.0;98.0;0.2
2015-01-14;4.5;5.9;1.7;168.0;1.1;1003.2;79.0;92.0;0.2
2015-01-15;6.9;8.5;0.2;95.0;5.9;991.4;87.0;95.0;0.1
2015-01-16;5.9;7.7;3.9;309.0;0.1;1001.2;81.0;92.0;0.4
2015-01-17;3.7;5.8;6.0;388.0;7.7;1010.2;81.0;97.0;0.5
2015-01-18;3.1;4.2;0.0;112.0;6.3;1010.7;93.0;97.0;0.1
2015-01-19;1.8;6.8;5.2;446.0;2.0;1011.7;91.0;99.0;0.5
2015-01-20;1.9;3.5;3.2;252.0;1.8;1011.6;94.0;98.0;0.3
2015-01-21;0.6;2.0;3.9;333.0;0.0;1013.9;86.0;95.0;0.4
2015-01-22;0.0;2.1;6.0;465.0;0.0;1021.5;83.0;94.0;0.5
2015-01-23;0.1;2.8;7.0;479.0;0.0;1024.3;87.0;96.0;0.5
2015-01-24;4.3;6.8;5.6;465.0;5.4;1019.0;83.0;98.0;0.6
2015-01-25;5.3;6.5;0.0;169.0;0.9;1025.6;91.0;97.0;0.2
2015-01-26;5.9;7.7;0.7;160.0;1.7;1017.4;90.0;99.0;0.2
2015-01-27;5.6;7.6;3.4;353.0;1.8;1020.1;88.0;98.0;0.5
2015-01-28;5.1;6.2;0.0;77.0;6.2;997.9;86.0;97.0;0.1
2015-01-29;2.5;4.5;1.4;243.0;9.5;978.4;85.0;98.0;0.3
2015-01-30;2.0;5.0;6.1;573.0;1.7;974.0;89.0;97.0;0.7
2015-01-31;2.2;5.6;3.0;325.0;0.5;979.8;90.0;95.0;0.4
2015-02-01;3.5;6.3;5.2;448.0;1.4;989.7;87.0;98.0;0.5
2015-02-02;3.5;5.9;3.8;411.0;1.3;997.9;82.0;89.0;0.5
2015-02-03;3.9;6.1;7.5;644.0;0.1;1005.1;73.0;87.0;0.8
2015-02-04;1.9;4.0;6.8;594.0;2.0;1015.8;85.0;97.0;0.7
2015-02-05;0.3;1.4;1.7;323.0;1.4;1026.2;85.0;97.0;0.3
2015-02-06;0.4;2.6;8.3;696.0;0.0;1032.8;82.0;95.0;0.7
2015-02-07;4.6;6.5;1.3;291.0;0.7;1031.3;91.0;98.0;0.4
2015-02-08;5.7;6.9;5.7;561.0;None;1031.1;77.0;91.0;0.7
2015-02-09;6.1;7.2;1.3;321.0;1.0;1029.0;93.0;97.0;0.4
2015-02-10;6.0;7.1;0.0;178.0;0.3;1031.6;86.0;96.0;0.2
2015-02-11;4.1;5.5;0.0;117.0;0.0;1026.3;85.0;88.0;0.1
